Fastq_name	target	sple_info	experiment	type	otherID	sampleID	tissue	factor	condition	treatment	replicate	pair_ended	shortLabel	longLabel	TH_type	visibility	colorR	colorG	colorB	maxHeightPixels	autoScale	viewLimits_low	viewLimits_high	priority	windowingFunction
Arx_BG_e13-5_ChIP_ChIP_rep2_R1.fastq.gz	ARX_E13.5	ARX_BG_E13.5_ChIP_R1_rep2	ARX190301-2	ChIP	R1	ARX_BG_E13.5_ChIP_R1_rep2	BG	ARX	WT	E13.5	2	no	ARX_BG_E13.5_ChIP_R1_rep2	ARX_BG_E13.5_ChIP_R1_rep2	bigWig	full	255	128	0	50	on	0	50	70099	mean

Arx_BG_e13-5_ChIP_input_rep2_R1.fastq.gz	ARX_E13.5	ARX_BG_E13.5_Input_R1_rep2	ARX190301-2	Input	R1	ARX_BG_E13.5_Input_R1_rep2	BG	ARX	WT	E13.5	2	no	ARX_BG_E13.5_Input_R1_rep2	ARX_BG_E13.5_Input_R1_rep2	bigWig	full	255	128	0	50	on	0	50	70100	

																									

Arx_BG_e13-5_ChIP_merged_R1.fastq.gz	ARX_E13.5	ARX_BG_E13.5_ChIP_rep.mrgd	ARX190301-2	ChIP		ARX_BG_E13.5_ChIP_rep.mrgd	BG	ARX	WT	E13.5	.mrgd	no	ARX_BG_E13.5_ChIP_rep.mrgd	ARX_BG_E13.5_ChIP_rep.mrgd	bigWig	full	255	128	0	50	on	0	50	70102	mean

Arx_BG_e13-5_Input_merged_R1.fastq.gz	ARX_E13.5	ARX_BG_E13.5_Input_rep.mrgd	ARX190301-2	Input		ARX_BG_E13.5_Input_rep.mrgd	BG	ARX	WT	E13.5	.mrgd	no	ARX_BG_E13.5_Input_rep.mrgd	ARX_BG_E13.5_Input_rep.mrgd	bigWig	full	255	128	0	50	on	0	50	70103	

																									

Arx_BG_e13-5_ChIP_rep3_R1.fastq.gz	ARX_E13.5	ARX_BG_E13.5_ChIP_rep3	ARX190301-2	ChIP		ARX_BG_E13.5_ChIP_rep3	BG	ARX	WT	E13.5	3	no	ARX_BG_E13.5_ChIP_rep3	ARX_BG_E13.5_ChIP_rep3	bigWig	full	255	128	0	50	on	0	50	70105	mean

Arx_BG_e13-5_Input_rep3_R1.fastq.gz	ARX_E13.5	ARX_BG_E13.5_Input_rep3	ARX190301-2	Input		ARX_BG_E13.5_Input_rep3	BG	ARX	WT	E13.5	3	no	ARX_BG_E13.5_Input_rep3	ARX_BG_E13.5_Input_rep3	bigWig	full	255	128	0	50	on	0	50	70106	

																									

Arx_BG_e13-5_ChIP_rep4_R1.fastq.gz	ARX_E13.5	ARX_BG_E13.5_ChIP_rep4	ARX190301-2	ChIP		ARX_BG_E13.5_ChIP_rep4	BG	ARX	WT	E13.5	4	no	ARX_BG_E13.5_ChIP_rep4	ARX_BG_E13.5_ChIP_rep4	bigWig	full	255	128	0	50	on	0	50	70108	mean

Arx_BG_e13-5_Input_rep4_R1.fastq.gz	ARX_E13.5	ARX_BG_E13.5_Input_rep4	ARX190301-2	Input		ARX_BG_E13.5_Input_rep4	BG	ARX	WT	E13.5	4	no	ARX_BG_E13.5_Input_rep4	ARX_BG_E13.5_Input_rep4	bigWig	full	255	128	0	50	on	0	50	70109	

																									

# DLX1																									

Dlx1_BG_e13-5_ChIP_rep1.fastq.gz	DLX1_E13.5	DLX1_BG_E13.5_ChIP_repO1	DLX190407-1	ChIP		DLX1_BG_E13.5_ChIP_repO1	BG	DLX1	WT	E13.5	O1	no	DLX1_BG_E13.5_ChIP_repO1	DLX1_BG_E13.5_ChIP_repO1	bigWig	full	255	128	0	50	on	0	50	70112	mean

Dlx1_Dlx5_BG_e13-5_Input_rep1.fastq.gz	DLX1_E13.5	DLX1_BG_E13.5_Input_repO1	DLX190407-1	Input		DLX1_BG_E13.5_Input_repO1	BG	DLX1	WT	E13.5	O1	no	DLX1_BG_E13.5_Input_repO1	DLX1_BG_E13.5_Input_repO1	bigWig	full	255	128	0	50	on	0	50	70113	

																									

Dlx1_BG_e13-5_ChIP_rep2.fastq.gz	DLX1_E13.5	DLX1_BG_E13.5_ChIP_repO3	DLX190407-2	ChIP		DLX1_BG_E13.5_ChIP_repO3	BG	DLX1	WT	E13.5	O3	no	DLX1_BG_E13.5_ChIP_repO3	DLX1_BG_E13.5_ChIP_repO3	bigWig	full	255	128	0	50	on	0	50	70115	mean

Dlx5_BG_e13-5_Input_rep2.fastq.gz	DLX1_E13.5	DLX1_BG_E13.5_Input_repO3	DLX190407-2	Input		DLX1_BG_E13.5_Input_repO3	BG	DLX1	WT	E13.5	O3	no	DLX1_BG_E13.5_Input_repO3	DLX1_BG_E13.5_Input_repO3	bigWig	full	255	128	0	50	on	0	50	70116	

																									

Dlx1_BG_e13-5_ChIP_rep3.fastq.gz	DLX1_E13.5	DLX1_BG_E13.5_ChIP_repN1	DLX190407-3	ChIP		DLX1_BG_E13.5_ChIP_repN1	BG	DLX1	WT	E13.5	N1	no	DLX1_BG_E13.5_ChIP_repN1	DLX1_BG_E13.5_ChIP_repN1	bigWig	full	255	128	0	50	on	0	50	70118	mean

Dlx1_Dlx5_BG_e13-5_input_rep3.fastq.gz	DLX1_E13.5	DLX1_BG_E13.5_Input_repN1	DLX190407-3	Input		DLX1_BG_E13.5_Input_repN1	BG	DLX1	WT	E13.5	N1	no	DLX1_BG_E13.5_Input_repN1	DLX1_BG_E13.5_Input_repN1	bigWig	full	255	128	0	50	on	0	50	70119	

																									

Dlx1-ChIP_BG_e13_Rep4_S124_L008_R1_001.fastq.gz	DLX1_E13.5	DLX1_BG_E13.5_ChIP_repN4	DLX190407-4	ChIP		DLX1_BG_E13.5_ChIP_repN4	BG	DLX1	WT	E13.5	N4	no	DLX1_BG_E13.5_ChIP_repN4	DLX1_BG_E13.5_ChIP_repN4	bigWig	full	255	128	0	50	on	0	50	70121	mean

Dlx1-Input_BG_e13_Rep4_S123_L008_R1_001.fastq.gz	DLX1_E13.5	DLX1_BG_E13.5_Input_repN4	DLX190407-4	Input		DLX1_BG_E13.5_Input_repN4	BG	DLX1	WT	E13.5	N4	no	DLX1_BG_E13.5_Input_repN4	DLX1_BG_E13.5_Input_repN4	bigWig	full	255	128	0	50	on	0	50	70122	

																									

# DLX2																									

Dlx2-BG-e13_S78_L008_R1_001.fastq.gz	DLX2_E13.5	DLX2_BG_E13.5_ChIP_repN1	DLX190407-5	ChIP		DLX2_BG_E13.5_ChIP_repN1	BG	DLX2	WT	E13.5	N1	no	DLX2_BG_E13.5_ChIP_repN1	DLX2_BG_E13.5_ChIP_repN1	bigWig	full	255	128	0	50	on	0	50	70125	mean

Input-Dlx2-BG-e13_S77_L008_R1_001.fastq.gz	DLX2_E13.5	DLX2_BG_E13.5_Input_repN1	DLX190407-5	Input		DLX2_BG_E13.5_Input_repN1	BG	DLX2	WT	E13.5	N1	no	DLX2_BG_E13.5_Input_repN1	DLX2_BG_E13.5_Input_repN1	bigWig	full	255	128	0	50	on	0	50	70126	

																									

Dlx2_BG_e13.5_ChIP_merged.fastq.gz	DLX2_E13.5	DLX2_BG_E13.5_ChIP_repO1	DLX190407-6	ChIP		DLX2_BG_E13.5_ChIP_repO1	BG	DLX2	WT	E13.5	O1	no	DLX2_BG_E13.5_ChIP_repO1	DLX2_BG_E13.5_ChIP_repO1	bigWig	full	255	128	0	50	on	0	50	70128	mean

Dlx2_BG_e13.5_Input_merged.fastq.gz	DLX2_E13.5	DLX2_BG_E13.5_Input_repO1	DLX190407-6	Input		DLX2_BG_E13.5_Input_repO1	BG	DLX2	WT	E13.5	O1	no	DLX2_BG_E13.5_Input_repO1	DLX2_BG_E13.5_Input_repO1	bigWig	full	255	128	0	50	on	0	50	70129	

																									

Dlx2_BG_e13-5_ChIP_rep1_R1.fastq.gz	DLX2_E13.5	DLX2_BG_E13.5_ChIP_repO1a	DLX190407-6a	ChIP		DLX2_BG_E13.5_ChIP_repO1a	BG	DLX2	WT	E13.5	O1a	no	DLX2_BG_E13.5_ChIP_repO1a	DLX2_BG_E13.5_ChIP_repO1a	bigWig	full	255	128	0	50	on	0	50	70130	mean

Dlx2_BG_e13-5_Input_rep1_R1.fastq.gz	DLX2_E13.5	DLX2_BG_E13.5_Input_repO1a	DLX190407-6a	Input		DLX2_BG_E13.5_Input_repO1a	BG	DLX2	WT	E13.5	O1a	no	DLX2_BG_E13.5_Input_repO1a	DLX2_BG_E13.5_Input_repO1a	bigWig	full	255	128	0	50	on	0	50	70131	

																									

Dlx2_BG_e13-5_ChIP_rep2_R1.fastq.gz	DLX2_E13.5	DLX2_BG_E13.5_ChIP_repO1b	DLX190407-6b	ChIP		DLX2_BG_E13.5_ChIP_repO1b	BG	DLX2	WT	E13.5	O1b	no	DLX2_BG_E13.5_ChIP_repO1b	DLX2_BG_E13.5_ChIP_repO1b	bigWig	full	255	128	0	50	on	0	50	70134	mean

